id,DataID,ClassName,datatype,uniqueid,name,latitude,longitude
2864,77,School,SCH,SCH77,GPS AMF KAMRA,33.85807471,72.44368195
2865,78,School,SCH,SCH78,GPS FATU CHAK,33.90093455,72.33336716
2866,79,School,SCH,SCH79,GPS GONDAL,33.88754179,72.35095112
2867,80,School,SCH,SCH80,GPS KAMRA KHURD,33.85707482,72.40736977
2868,81,School,SCH,SCH81,GPS MADROTA,33.87602614,72.36089272
2869,82,School,SCH,SCH82,GPS PIND SULEMAN MAKHAN,33.86176819,72.40386979
2870,83,School,SCH,SCH83,GPS ROOMIAN,33.86573732,72.28854239
2871,84,School,SCH,SCH84,GPS THEEKRIAN,33.86617975,72.37148785
2872,85,School,SCH,SCH85,GPS TOOTIAN WALI MASJID,33.87613656,72.32680893
2873,86,School,SCH,SCH86,GGHS (MC) CHOI WEST ATTOCK CITY,33.76620386,72.35194099
2874,87,School,SCH,SCH87,GGHS AKHORI,33.69125122,72.45310469
2875,88,School,SCH,SCH88,GGHS AMF KAMRA CANTT,33.8607718,72.43978793
2876,89,School,SCH,SCH89,GGHS ATTOCK NO.2,33.76797646,72.36652099
2877,90,School,SCH,SCH90,GGHS BARYAR,33.72787097,72.36991088
2878,91,School,SCH,SCH91,GGHS BOLIAN WAL,33.74596355,72.50904017
2879,92,School,SCH,SCH92,GGHS BOOTA,33.69895686,72.41360755
2880,93,School,SCH,SCH93,GGHS DAKHNAIR (ATTOCK),33.83639899,72.27374774
2881,94,School,SCH,SCH94,GGHS FAQEER ABAD,33.82810056,72.50303864
2882,95,School,SCH,SCH95,GGHS HAJI SHAH,33.88100214,72.32948362
2883,96,School,SCH,SCH96,GGHS KAMRA KALAN,33.85319569,72.39440565
2884,97,School,SCH,SCH97,GGHS MARI KANJOOR,33.74719539,72.34732116
2885,98,School,SCH,SCH98,GGHS PAF BASE COLONY,33.84537183,72.42061318
2886,99,School,SCH,SCH99,GGHS PEPOLES COLONY ATTOCK,33.7910883,72.35736864
2887,100,School,SCH,SCH100,GGHS SALAR,33.76574193,72.30513751
2888,101,School,SCH,SCH101,GGHS SHAKAR DARA,33.77751337,72.33536227
